name,material_type,seating_type,speed,height,length,num_inversions,manufacturer,park,status,,
King,Steel,Sit Down,90,28,720,0,Soquet,Foire,status.operating,,
Crazy Mouse,Steel,Sit Down,50,13,420,0,Reverchon,Foire,status.operating,,
Fireball,Steel,Sit Down,,,,1,"Larson International, Inc",Foire,status.operating,,
Olympia looping,Steel,Sit Down,80,38,1250,5,Schwarzkopf,Foire,status.operating,,
Looping,Steel,Sit Down,,,,1,Soquet,Foire,status.unknown,,
Kamikaze,Steel,Sit Down,,,,3,Schwarzkopf,Foire,status.operating,,
Free Fall,Steel,Sit Down,100,27,50,0,Preston & Barbieri,Foire,status.operating,,
Le Train de la Mine,Steel,Sit Down,36,7,,0,Soquet,Cigoland,status.operating,,
Blue Streak,Wooden,Sit Down,64,24,780,0,Philadelphia Toboggan Coaster,Cedar Point,status.operating,,
Tsunami,Steel,Inverted,,20,350,3,Pinfari,Foire,status.operating,,
Big Dipper,Steel,Sit Down,,,,0,National Amusement Devices,Camden Park,status.operating,,
Tokaido Express 2,Steel,Sit Down,40,6,180,0,Mack,Foire,status.operating,,
Pomme (la),Steel,Sit Down,,3,,0,Pinfari,Foire,status.operating,,
Eurostar,Steel,Inverted,80,30,800,4,Intamin,Foire,status.relocated,,
Cyberspace,Steel,Spinning,,,,0,Maurer,Foire,status.closed.definitely,,
Jumbo Jet,Steel,Sit Down,63,17,791,0,Schwarzkopf,Amigoland,status.operating,,
Infernal Toboggan,Steel,Sit Down,,11,335,0,S.D.C.,Foire,status.operating,,
Super Railway,Steel,Sit Down,,,,0,Schwarzkopf,Foire,status.operating,,
Revenge of the Mummy,Steel,Sit Down,65,14,670,0,Premier Rides,Universal Studios Florida,status.operating,,
Raging Spirits,Steel,Sit Down,60,16,600,1,Intamin,Tokyo DisneySea,status.operating,,
Les Souris Mécaniques,Steel,Spinning,,6,,0,Reverchon,Jardin d'Acclimatation,status.operating,,
Batwing,Steel,Flying,81,35,1018,5,Vekoma,Six Flags America,status.operating,,
Hoosier Hurricane,Wooden,Sit Down,82,24,881,0,CCI,Indiana Beach,status.operating,,
Desperado,Steel,Sit Down,129,64,1781,0,Arrow,Buffalo Bill's Resort & Casino,status.operating,,
Speed the ride,Steel,Sit Down,112,68,416,1,Premier Rides,Nascar Café,status.closed.definitely,,
Big Apple Coaster,Steel,Sit Down,108,62,1456,2,Togo,"New York, New York Hotel & Casino",status.operating,,
Alpenexpress,Steel,Sit Down,45,6,264,0,Mack,Europa Park,status.operating,,
Achterbahn,Steel,Sit Down,50,15,560,0,Schwarzkopf,Skyline Park,status.operating,,
Rockin' Roller,Steel,Sit Down,16,6,105,0,Bradley & Kaye,Six Flags St Louis,status.closed.definitely,,
Adventure Express,Steel,Sit Down,56,19,903,0,Arrow,Kings Island,status.operating,,
Alpengeist,Steel,Inverted,108,60,,6,B&M,Busch Gardens Williamsburg,status.operating,,
Zach's Zoomer,Wooden,Sit Down,,14,460,0,CCI,Michigan's Adventure,status.operating,,
Alpine Bobsled,Steel,Bobsleigh,60,20,452,0,Intamin,Great Escape,status.operating,,
Racer (Left),Wooden,Sit Down,98,27,1040,0,Philadelphia Toboggan Coaster,Kings Island,status.operating,,
X-Treme Racer,Steel,Sit Down,56,16,400,0,Mack,Legoland Billund,status.operating,,
Ultra Twister,Steel,Pipeline,71,29,426,3,Togo,Six Flags AstroWorld,status.closed.definitely,,
Underground,Steel,Sit Down,,,300,0,CCI,Adventureland,status.operating,,
Atlantis Adventure,Steel,Water Coaster,75,22,670,0,Intamin,Lotte World,status.operating,,
Kumba,Steel,Sit Down,96,43,1210,7,B&M,Busch Gardens Tampa,status.operating,,
Rougarou,Steel,Floorless,97,44,1188,4,B&M,Cedar Point,status.operating,,
Montu,Steel,Inverted,96,46,1214,7,B&M,Busch Gardens Tampa,status.operating,,
Chang,Steel,Stand Up,102,47,1267,5,B&M,Kentucky Kingdom,status.closed.definitely,,
Vuoristorata,Wooden,Sit Down,60,23,960,0,na,Linnanmäki,status.operating,,
Raging Bull,Steel,Sit Down,118,62,1542,0,B&M,Six Flags Great America,status.operating,,
Kraken,Steel,Floorless,105,46,1273,7,B&M,SeaWorld Orlando,status.operating,,
Cobra,Steel,Stand Up,77,26,785,1,Intamin,La Ronde,status.closed.definitely,,
Vampire,Steel,Inverted,81,32,823,5,B&M,La Ronde,status.operating,,
Incredicoaster,Steel,Sit Down,88,33,1850,1,Intamin,Disney California Adventure,status.operating,,
Apollo's Chariot,Steel,Sit Down,118,52,1488,0,B&M,Busch Gardens Williamsburg,status.operating,,
Raptor,Steel,Inverted,92,42,1155,6,B&M,Cedar Point,status.operating,,
Ninja,Steel,Suspended,88,18,825,0,Arrow,Six Flags Magic Mountain,status.operating,,
Titan,Steel,Sit Down,137,75,1619,0,Giovanola,Six flags Over Texas,status.operating,,
Magnum XL 200,Steel,Sit Down,116,63,1556,0,Arrow,Cedar Point,status.operating,,
El Condor,Steel,Inverted,80,31,662,5,Vekoma,Walibi Holland,status.operating,,
Hypersonic XLC,Steel,Sit Down,128,50,475,0,S&S,Kings Dominion,status.closed.definitely,,
Thunder dolphin,Steel,Sit Down,130,80,1070,0,Intamin,Tokyo Dome City,status.operating,,
Tatsu,Steel,Flying,100,52,1097,4,B&M,Six Flags Magic Mountain,status.operating,,
Rock'n Roller Coaster starring  Aerosmith,Steel,Sit Down,96,24,1027,3,Vekoma,Disney Hollywood Studios,status.operating,,
Sequoia Magic Loop,Steel,Sit Down,,30,,0,S&S,Gardaland,status.closed.temporarily,,
Robin Hood,Wooden,Sit Down,80,32,1000,0,Vekoma,Walibi Holland,status.retracked,,
Tower of Terror II,Steel,Sit Down,160,115,372,0,Intamin,Dreamworld,status.operating,,
Cobra,Steel,Sit Down,,47,150,1,Pax,Admiral Vrungel,status.operating,,
Expedition Everest,Steel,Sit Down,80,34,1341,0,Vekoma,Disney's Animal Kingdom,status.operating,,
Volcano,the Blast Coaster,Steel,Inverted,112,47,840,4,Intamin,Kings Dominion,status.closed.definitely,
Cool & Fresh,Steel,Sit Down,,,,1,SBF,Foire,status.operating,,
G'sengte Sau,Steel,Sit Down,50,16,480,0,Gerstlauer,Tripsdrill,status.operating,,
Coaster Express,Wooden,Sit Down,90,36,1394,0,RCCA,Parque Warner Madrid,status.operating,,
Achterbahn,Steel,Sit Down,,,,0,Zierer,Bayern Park,status.operating,,
Famous jack,Steel,Spinning,47,13,420,0,Reverchon,Bagatelle,status.operating,,
Mount Mara,Steel,Sit Down,50,26,720,0,Vekoma,Bobbejaanland,status.operating,,
Stealth,Steel,Sit Down,135,63,400,0,Intamin,Thorpe Park,status.operating,,
Kumali,Steel,Inverted,88,38,671,4,Vekoma,Flamingo Land Theme Park and Zoo,status.operating,,
Le Cinquième Elément,Steel,Sit Down,,,125,0,Diamond Rides,Foire,status.operating,,
Déval' Train,Steel,Sit Down,35,9,207,0,Vekoma,Parc des Combes,status.operating,,
Speed of Sound,Steel,Sit Down,75,35,285,3,Vekoma,Walibi Holland,status.operating,,
Cannonball Run,Steel,Sit Down,69,20,518,0,CCI,Waterville,status.operating,,
Great Chase,Steel,Sit Down,,3,85,0,Zamperla,Six Flags America,status.operating,,
Joker's Jinx,Steel,Sit Down,96,24,824,4,Premier Rides,Six Flags America,status.operating,,
Mind Eraser,Steel,Inverted,80,33,689,5,Vekoma,Six Flags America,status.operating,,
Roar,Steel,Sit Down,81,27,975,0,GCI,Six Flags America,status.operating,,
Superman - Ride Of Steel,Steel,Sit Down,117,60,1630,0,Intamin,Six Flags America,status.operating,,
Two-Face: The Flip Side,Steel,Inverted,81,49,309,3,Vekoma,Six Flags America,status.relocated,,
Wild One,Steel,Sit Down,85,30,1219,0,John Miller,Six Flags America,status.operating,,
Vertigo,Steel,Suspended,60,55,722,0,Doppelmayr,Walibi Belgium,status.closed.definitely,,
El Toro,Wooden,Sit Down,113,55,1341,0,Intamin,Six Flags Great Adventure,status.operating,,
Le Grand Huit,Steel,Sit Down,,10,,0,Soquet,La Récré des trois Curés,status.operating,,
Rattler,Wooden,Sit Down,104,54,1550,0,RCCA,Six Flags Fiesta Texas,status.retracked,,
Corkscrew,Steel,Sit Down,70,23,615,3,Arrow,Cedar Point,status.operating,,
Abismo,Steel,Sit Down,105,46,450,2,Maurer,Parque de Atracciones de Madrid,status.operating,,
Jet Star,Steel,Sit Down,,20,540,0,Schwarzkopf,Foire,status.operating,,
Joker Funhouse Coaster,Steel,Sit Down,48,,274,0,Chance Rides,Six Flags Over Georgia,status.operating,,
Black Mamba,Steel,Inverted,80,26,,4,B&M,Phantasialand,status.operating,,
Winja's Fear,Steel,Spinning,66,17,465,0,Maurer,Phantasialand,status.operating,,
Winja's Force,Steel,Spinning,60,17,410,0,Maurer,Phantasialand,status.operating,,
Superman - Ultimate Flight,Steel,Flying,82,32,840,2,B&M,Six Flags Over Georgia,status.operating,,
Blue Hawk,Steel,Sit Down,84,37,836,5,Vekoma,Six Flags Over Georgia,status.operating,,
X-Flight,Steel,Flying,81,35,1018,0,Vekoma,Geauga Lake,status.closed.definitely,,
Double Loop,Steel,Sit Down,58,29,549,2,Arrow,Geauga Lake,status.closed.definitely,,
Vilain,Wooden,Sit Down,95,33,1213,0,CCI,Geauga Lake,status.closed.definitely,,
