name,material_type,seating_type,speed,height,length,num_inversions,manufacturer,park,status,,
New Revolution,Steel,Sit Down,89,34,1054,1,Schwarzkopf,Six Flags Magic Mountain,status.operating,,
Invertigo,Steel,Sit Down,80,40,310,3,Vekoma,California's Great America,status.closed.definitely,,
Stealth,Steel,Flying,82,35,843,5,Vekoma,California's Great America,status.relocated,,
Great Bear,Steel,Inverted,93,27,853,4,B&M,Hersheypark,status.operating,,
Loch Ness Monster,Steel,Sit Down,96,39,987,2,Arrow,Busch Gardens Williamsburg,status.operating,,
Vogel Rok,Steel,Sit Down,65,25,1200,0,Vekoma,Efteling,status.operating,,
Banzai,Steel,Sit Down,100,36,,0,Troisne,Magic World,status.operating,,
Thunderbolt,Wooden,Sit Down,,21,873,0,"Drambour, Joseph",Six Flags New England,status.operating,,
Cyclone,Wooden,Sit Down,72,32,1100,0,William J. Cobb,Six Flags New England,status.retracked,,
Riddler Revenge,Steel,Inverted,80,34,689,5,Vekoma,Six Flags New England,status.operating,,
Flashback,Steel,Sit Down,75,36,267,3,Vekoma,Six Flags New England,status.operating,,
Superman : the Ride,Steel,Sit Down,124,63,1646,0,Intamin,Six Flags New England,status.operating,,
Catwoman's Whip,Steel,Sit Down,36,8,360,0,Zierer,Six Flags New England,status.operating,,
Batman : The Dark Knight,Steel,Floorless,89,36,793,5,B&M,Six Flags New England,status.operating,,
Pandemonium,Steel,Spinning,50,17,410,0,Gerstlauer,Six Flags New England,status.operating,,
Runaway Mine Train,Steel,Sit Down,,11,731,0,Arrow,Six flags Over Texas,status.operating,,
Mini Mine Train,Steel,Sit Down,,6,277,0,Arrow,Six flags Over Texas,status.operating,,
Shockwave,Steel,Sit Down,96,35,1097,2,Schwarzkopf,Six flags Over Texas,status.operating,,
Judge Roy Scream,Steel,Sit Down,85,22,815,0,William J. Cobb,Six flags Over Texas,status.operating,,
La Vibora,Steel,Bobsleigh,51,18,454,0,Intamin,Six flags Over Texas,status.operating,,
Flashback,Steel,Sit Down,75,36,267,3,Vekoma,Six flags Over Texas,status.closed.definitely,,
Texas Giant,Wooden,Sit Down,104,44,1500,0,Dinn Corp.,Six flags Over Texas,status.retracked,,
Runaway Mountain,Steel,Sit Down,64,16,456,0,Premier Rides,Six flags Over Texas,status.operating,,
Mr Freeze Reverse Blast,Steel,Sit Down,113,66,396,1,Premier Rides,Six flags Over Texas,status.operating,,
Batman the Ride,Steel,Inverted,81,32,823,5,B&M,Six flags Over Texas,status.operating,,
Wile E. Coyote's Grand Canyon Blaster,Steel,Sit Down,25,5,115,0,Chance Rides,Six flags Over Texas,status.operating,,
Mind Bender,Steel,Sit Down,81,25,992,2,Schwarzkopf,Six Flags Over Georgia,status.operating,,
Cedar Creek Mine Ride,Hybrid,Sit Down,50,15,774,0,Arrow,Cedar Point,status.operating,,
Disaster Transport,Steel,Bobsleigh,64,19,589,0,Intamin,Cedar Point,status.closed.definitely,,
Gemini (Blue),Hybrid,Sit Down,96,38,1200,0,Arrow,Cedar Point,status.operating,,
Mouse Coaster,Steel,Sit Down,50,18,450,0,na,Foire,status.operating,,
Iron Dragon,Steel,Suspended,64,23,860,0,Arrow,Cedar Point,status.operating,,
Goliath,Steel,Sit Down,110,53,1231,0,B&M,La Ronde,status.operating,,
Katapult,Steel,Sit Down,,18,,1,Schwarzkopf,Mirabilandia,status.closed.definitely,,
Leprotto Express,Steel,Sit Down,35,6,135,0,L&T Systems,Mirabilandia,status.operating,,
Mean Streak,Wooden,Sit Down,100,49,1654,0,Dinn Corp.,Cedar Point,status.retracked,,
Wicked Twister,Steel,Sit Down,116,63,,0,Intamin,Cedar Point,status.operating,,
Wildcat,Steel,Sit Down,50,15,560,0,Schwarzkopf,Cedar Point,status.closed.definitely,,
Woodstock Express,Steel,Sit Down,46,13,335,0,Vekoma,Cedar Point,status.operating,,
Colorado Adventure,Steel,Sit Down,50,26,1280,0,Vekoma,Phantasialand,status.operating,,
Crazy Bats,Steel,Sit Down,50,8,1280,0,Vekoma,Phantasialand,status.operating,,
Flying Dutchman Gold Mine,Steel,Sit Down,45,14,370,0,Mack,Walibi Holland,status.closed.definitely,,
Drako,Steel,Sit Down,32,6,199,0,Zierer,Walibi Holland,status.operating,,
Pegasus,Steel,Sit Down,65,15,400,0,Mack,Europa Park,status.operating,,
Big Bad Wolf,Steel,Suspended,77,31,853,0,Arrow,Busch Gardens Williamsburg,status.closed.definitely,,
Scream!,Steel,Floorless,101,46,1215,7,B&M,Six Flags Magic Mountain,status.operating,,
Psyclone,Wooden,Sit Down,81,29,,0,Dinn Corp.,Six Flags Magic Mountain,status.closed.definitely,,
Colossus,Wooden,Sit Down,100,38,1318,0,International Amusement Devices,Six Flags Magic Mountain,status.retracked,,
Tarantula,Steel,Spinning,68,22,630,0,Maurer,Parque de Atracciones de Madrid,status.operating,,
Sky Wheel,Steel,Sit Down,105,46,150,2,Maurer,Skyline Park,status.operating,,
Sky Rider,Steel,Suspended,,,,0,Caripro,Skyline Park,status.operating,,
Boomerang Coast to Coaster,Steel,Sit Down,76,36,267,3,Vekoma,Darien Lake,status.operating,,
Hoot N Holler,Steel,Sit Down,26,3,60,0,Zierer,Darien Lake,status.operating,,
Mind Eraser,Steel,Inverted,80,34,689,5,Vekoma,Darien Lake,status.operating,,
Predator,Wooden,Sit Down,80,29,1036,0,Dinn Corp.,Darien Lake,status.operating,,
Ride of Steel,Steel,Sit Down,112,63,1645,0,Intamin,Darien Lake,status.operating,,
Viper,Steel,Sit Down,80,37,945,5,Arrow,Darien Lake,status.operating,,
Invertigo,Steel,Inverted,81,49,309,3,Vekoma,Kings Island,status.operating,,
Woodstock Express,Wooden,Sit Down,,,411,0,Philadelphia Toboggan Coaster,Kings Island,status.operating,,
Flight of Fear,Steel,Sit Down,87,23,825,4,Premier Rides,Kings Island,status.operating,,
King Cobra,Steel,Stand Up,81,29,676,1,Togo,Kings Island,status.closed.definitely,,
Great Pumpkin Coaster,Steel,Sit Down,,,61,0,Miler Coaster,Kings Island,status.operating,,
Flying Ace Aerial Chase,Steel,Suspended,42,15,342,0,Vekoma,Kings Island,status.operating,,
Bat,Steel,Suspended,82,24,716,0,Arrow,Kings Island,status.operating,,
Vortex,Steel,Sit Down,89,45,1158,6,Arrow,Kings Island,status.operating,,
Batman The Ride,Steel,Inverted,81,32,821,5,B&M,Six Flags St Louis,status.operating,,
The Boss,Wooden,Sit Down,106,46,1540,0,CCI,Six Flags St Louis,status.operating,,
Mr. Freeze Reverse Blast,Steel,Sit Down,113,66,396,1,Premier Rides,Six Flags St Louis,status.operating,,
Ninja,Steel,Sit Down,88,33,741,4,Vekoma,Six Flags St Louis,status.operating,,
River King Mine Train,Steel,Sit Down,60,13,762,0,Arrow,Six Flags St Louis,status.operating,,
Screamin' Eagle,Wooden,Sit Down,100,34,1180,0,Philadelphia Toboggan Coaster,Six Flags St Louis,status.operating,,
Dragon,Steel,Sit Down,,,,0,Zamperla,TusenFryd,status.closed.definitely,,
Loopen,Steel,Sit Down,,,,2,Vekoma,TusenFryd,status.operating,,
Thundercoaster,Wooden,Sit Down,93,32,950,0,Vekoma,TusenFryd,status.operating,,
Teeny-weeny,Steel,Sit Down,,,,0,SBF,TusenFryd,status.operating,,
Speed Monster,Steel,Sit Down,90,40,690,3,Intamin,TusenFryd,status.operating,,
Beaver Land Mine Ride,Steel,Sit Down,36,8,360,0,Zierer,Geauga Lake,status.closed.definitely,,
Big Dipper,Wooden,Sit Down,52,20,817,0,John Miller,Geauga Lake,status.closed.definitely,,
Thunderhawk,Steel,Inverted,80,33,689,5,Vekoma,Geauga Lake,status.closed.definitely,,
Steel Venom,Steel,Sit Down,113,55,215,0,Intamin,Geauga Lake,status.closed.definitely,,
Raging Wolf Bobs,Wooden,Sit Down,81,24,,0,Dinn Corp.,Geauga Lake,status.closed.definitely,,
Head Spin,Steel,Sit Down,76,36,285,3,Vekoma,Geauga Lake,status.closed.definitely,,
Dominator,Steel,Floorless,105,48,1283,5,B&M,Geauga Lake,status.closed.definitely,,
Sand Serpent,Steel,Sit Down,45,14,370,0,Mack,Busch Gardens Tampa,status.operating,,
Gwazi - Lion,Wooden,Sit Down,80,32,1070,0,GCI,Busch Gardens Tampa,status.retracked,,
Python,Steel,Sit Down,80,21,381,2,Arrow,Busch Gardens Tampa,status.closed.definitely,,
Scorpion,Steel,Sit Down,80,20,552,1,Schwarzkopf,Busch Gardens Tampa,status.operating,,
Python (1981 - 2017),Steel,Sit Down,75,29,750,4,Vekoma,Efteling,status.retracked,,
The Voyage,Wooden,Sit Down,108,49,1963,0,Gravity Group,Holiday World,status.operating,,
The Raven,Wooden,Sit Down,77,33,832,0,CCI,Holiday World,status.operating,,
The Legend,Wooden,Sit Down,93,35,1232,0,CCI,Holiday World,status.operating,,
Howler,Steel,Sit Down,,3,85,0,Zamperla,Holiday World,status.operating,,
Bobbaan,Steel,Bobsleigh,60,20,524,0,Intamin,Efteling,status.operating,,
Pegasus,Wooden,Sit Down,55,15,492,0,Dinn Corp.,Efteling,status.closed.definitely,,
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Elitch Gardens,status.operating,,
Flying Coaster,Steel,Flying,41,15,391,2,Zamperla,Elitch Gardens,status.operating,,
Halfpipe,Steel,Sit Down,70,30,70,0,Intamin,Elitch Gardens,status.operating,,
Mind Eraser,Steel,Inverted,80,34,689,5,Vekoma,Elitch Gardens,status.operating,,
Sidewinder,Steel,Sit Down,72,17,193,1,Arrow,Elitch Gardens,status.operating,,
Twister II,Wooden,Sit Down,80,31,1414,0,Hensel Phelps Construction Co.,Elitch Gardens,status.operating,,
Hayabusa,Steel,Suspended,97,42,780,0,Arrow,Tokyo Summerland,status.closed.definitely,,
Tornado,Steel,Sit Down,70,22,370,2,Vekoma,Tokyo Summerland,status.operating,,
Blauer Enzian,Steel,Sit Down,36,4,250,0,Mack,Toshimaen,status.operating,,
Corkscrew,Steel,Sit Down,63,21,383,2,Arrow,Toshimaen,status.operating,,
Cyclone,Steel,Sit Down,65,18,822,0,Togo,Toshimaen,status.operating,,
Shuttle Loop,Steel,Sit Down,91,42,263,1,Schwarzkopf,Toshimaen,status.closed.definitely,,
Hot Wheels Sidewinder,Steel,Sit Down,85,40,900,2,Arrow,Dreamworld,status.operating,,
Eureka Mountain Mine Ride,Steel,Sit Down,48,12,,0,HyFab,Dreamworld,status.closed.definitely,,
Escape from Madagascar,na,Suspended,42,15,342,0,Vekoma,Dreamworld,status.operating,,
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Six Flags Fiesta Texas,status.operating,,
Poltergeist,Steel,Sit Down,97,24,825,4,Premier Rides,Six Flags Fiesta Texas,status.operating,,
Road Runner Express,Steel,Sit Down,,22,732,0,Arrow,Six Flags Fiesta Texas,status.operating,,
Kiddee Koaster,Steel,Sit Down,,,85,0,Vekoma,Six Flags Fiesta Texas,status.operating,,
Superman Krypton Coaster,Steel,Floorless,113,51,1227,6,B&M,Six Flags Fiesta Texas,status.operating,,
Greezed Lightnin,Steel,Sit Down,92,42,263,1,Schwarzkopf,Kentucky Kingdom,status.closed.definitely,,
Road Runner Express,Steel,Sit Down,45,15,370,0,Maurer,Kentucky Kingdom,status.closed.definitely,,
Roller Skater,Steel,Sit Down,36,9,207,0,Vekoma,Kentucky Kingdom,status.operating,,
T3,Steel,Inverted,80,31,662,5,Vekoma,Kentucky Kingdom,status.operating,,
Thunder Run,Wooden,Sit Down,85,27,869,0,Dinn Corp.,Kentucky Kingdom,status.operating,,
Twisted Twins,Wooden,Sit Down,89,24,914,0,CCI,Kentucky Kingdom,status.retracked,,
Boomerang Coast to Coaster,Steel,Sit Down,76,36,285,3,Vekoma,Six Flags Discovery Kingdom,status.operating,,
Cobra,Steel,Sit Down,36,8,360,0,Zierer,Six Flags Discovery Kingdom,status.operating,,
Kong,Steel,Inverted,80,34,689,5,Vekoma,Six Flags Discovery Kingdom,status.operating,,
Medusa,Steel,Floorless,105,46,1200,7,B&M,Six Flags Discovery Kingdom,status.operating,,
Roadrunner Express,Steel,Sit Down,,3,86,0,Zamperla,Six Flags Discovery Kingdom,status.operating,,
Roar,Wooden,Sit Down,81,29,1003,0,GCI,Six Flags Discovery Kingdom,status.retracked,,
Vertical Velocity,Steel,Sit Down,105,46,192,1,Intamin,Six Flags Discovery Kingdom,status.operating,,
Patriot,Steel,Inverted,96,46,939,4,B&M,Worlds of Fun,status.operating,,
Mamba,Steel,Sit Down,120,63,1700,0,Morgan,Worlds of Fun,status.operating,,
Timber Wolf,Wooden,Sit Down,85,31,1290,0,Dinn Corp.,Worlds of Fun,status.operating,,
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Worlds of Fun,status.operating,,
Spinning Dragons,Steel,Spinning,50,17,410,0,Gerstlauer,Worlds of Fun,status.operating,,
Cosmic Coaster,Steel,Sit Down,26,3,135,0,Preston & Barbieri,Worlds of Fun,status.operating,,
Batman the Ride,Steel,Inverted,80,34,689,5,Vekoma,Six Flags Mexico,status.operating,,
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Six Flags Mexico,status.operating,,
Medusa,Wooden,Sit Down,88,32,956,0,CCI,Six Flags Mexico,status.retracked,,
Roller,Steel,Sit Down,35,9,207,0,Vekoma,Six Flags Mexico,status.operating,,
Superman El Último Escape,Steel,Sit Down,120,67,1700,0,Morgan,Six Flags Mexico,status.operating,,
Tsunami,Steel,Sit Down,36,8,360,0,Zierer,Six Flags Mexico,status.operating,,
1001 Pattes (Perc),Steel,Sit Down,26,3,,0,Pinfari,Foire,status.operating,,
Achterbahn,Steel,Sit Down,,,,0,Pinfari,Foire,status.operating,,
Ala delta,Steel,Suspended,43,16,370,0,Reverchon,Foire,status.operating,,
Alpina Bahn,Steel,Sit Down,80,27,910,0,Schwarzkopf,Foire,status.operating,,
Avalanche,Steel,Sit Down,,,,0,Pinfari,Foire,status.operating,,
Baby Pomme,Steel,Sit Down,,,,0,na,Foire,status.operating,,
Bugs & Bees,Steel,Sit Down,,,138,0,Pinfari,Foire,status.operating,,
Chattanooga Choo Choo,Steel,Sit Down,,,,0,Mack,Foire,status.operating,,
Cobra,Steel,Sit Down,,,,0,Pinfari,Magic World,status.operating,,
Crazy Coaster,Steel,Sit Down,47,,,0,Reverchon,Foire,status.operating,,
Crazy Coaster,Steel,Sit Down,,,420,0,Zamperla,Foire,status.operating,,
Blazing Fury,Steel,Sit Down,,,,0,na,Dollywood,status.operating,,
Sideshow Spin,Steel,Sit Down,23,4,60,0,L&T Systems,Dollywood,status.closed.definitely,,
Thunderhead,Wooden,Sit Down,89,31,985,0,GCI,Dollywood,status.operating,,
Tennessee Tornado,Steel,Sit Down,101,50,818,3,Arrow,Dollywood,status.operating,,
Tower of Terror,Steel,Sit Down,95,50,,0,Ronald Bussink,Gold Reef City,status.operating,,
Run A Way Mine Train,Steel,Sit Down,,,,0,Mack,Gold Reef City,status.operating,,
Jozi Express,Steel,Sit Down,68,24,702,0,Zierer,Gold Reef City,status.operating,,
Golden Loop,Steel,Sit Down,92,42,263,1,Schwarzkopf,Gold Reef City,status.operating,,
Anaconda,Steel,Inverted,90,34,746,5,Giovanola,Gold Reef City,status.operating,,
Batman The Ride,Steel,Inverted,81,31,823,5,B&M,Six Flags Great America,status.operating,,
Déjà Vu,Steel,Sit Down,106,58,367,3,Vekoma,Six Flags Great America,status.closed.definitely,,
Whizzer,Steel,Sit Down,68,21,945,0,Schwarzkopf,Six Flags Great America,status.operating,,
Viper,Wooden,Sit Down,81,31,1054,0,Philadelphia Toboggan Coaster,Six Flags Great America,status.operating,,
Vertical Velocity,Steel,Sit Down,113,56,192,0,Intamin,Six Flags Great America,status.operating,,
Superman - Ultimate Flight,Steel,Flying,82,32,853,2,B&M,Six Flags Great America,status.operating,,
Spacely's Sprocket Rockets,Steel,Sit Down,35,9,207,0,Vekoma,Six Flags Great America,status.operating,,
Ragin' Cajun,Steel,Spinning,47,13,420,0,Zamperla,Six Flags Great America,status.closed.definitely,,
Great American Scream Machine,Wooden,Sit Down,92,32,1052,0,Philadelphia Toboggan Coaster,Six Flags Over Georgia,status.operating,,
Goliath,Steel,Sit Down,112,61,1365,0,B&M,Six Flags Over Georgia,status.operating,,
Georgia Scorcher,Steel,Stand Up,87,33,914,2,B&M,Six Flags Over Georgia,status.operating,,
Batman The Ride,Steel,Inverted,81,32,823,5,B&M,Six Flags Over Georgia,status.operating,,
Dahlonega Mine Train,Steel,Sit Down,47,11,708,0,Arrow,Six Flags Over Georgia,status.operating,,
Déjà Vu,Steel,Sit Down,106,58,367,3,Vekoma,Six Flags Over Georgia,status.closed.definitely,,
Georgia Cyclone,Wooden,Sit Down,81,29,905,0,Dinn Corp.,Six Flags Over Georgia,status.retracked,,
Galaxy Express 999,Steel,Sit Down,55,,,1,Intamin,Aqua Stadium,status.operating,,
Batman And Robin: The Chiller,Steel,Sit Down,113,61,347,5,Premier Rides,Six Flags Great Adventure,status.closed.definitely,,
Batman The Ride,Steel,Inverted,81,32,821,5,B&M,Six Flags Great Adventure,status.operating,,
Harley Quinn Crazy Train,Steel,Sit Down,36,8,360,0,Zierer,Six Flags Great Adventure,status.operating,,
Road Runner Railway,Steel,Sit Down,,3,85,0,Zamperla,Six Flags Great Adventure,status.operating,,
Rolling Thunder,Wooden,Sit Down,90,29,975,0,Don Rosser & Bill Cobb,Six Flags Great Adventure,status.closed.definitely,,
Runaway Mine Train,Steel,Sit Down,61,,,0,Arrow,Six Flags Great Adventure,status.operating,,
Skull Mountain,Wooden,Sit Down,53,12,,0,Intamin,Six Flags Great Adventure,status.operating,,
Superman - Ultimate Flight,Steel,Flying,82,32,841,2,B&M,Six Flags Great Adventure,status.operating,,
Dragon Coaster,Steel,Sit Down,,,,0,Zamperla,Dorney Park,status.closed.definitely,,
Laser,Steel,Sit Down,80,28,670,2,Schwarzkopf,Dorney Park,status.closed.definitely,,
Steel Force,Steel,Sit Down,120,61,1706,0,Morgan,Dorney Park,status.operating,,
Talon,Steel,Inverted,93,41,950,4,B&M,Dorney Park,status.operating,,
Thunderhawk,Wooden,Sit Down,64,24,845,0,Philadelphia Toboggan Coaster,Dorney Park,status.operating,,
Wild Mouse,Steel,Sit Down,45,15,370,0,Maurer,Dorney Park,status.operating,,
Little Laser,Steel,Sit Down,,,,0,Herschell,Dorney Park,status.closed.definitely,,
Woodstock's Express,Steel,Sit Down,,3,85,0,Zamperla,Dorney Park,status.operating,,
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,La Ronde,status.operating,,
Crazy Mouse,Steel,Sit Down,47,13,420,0,Reverchon,Hirakata Park,status.operating,,
Dragon,Steel,Sit Down,,,,0,Intamin,La Ronde,status.operating,,
Elf,Steel,Sit Down,58,19,695,0,Intamin,Hirakata Park,status.operating,,
La Marche du mille-pattes,Steel,Sit Down,,,,0,Arrow,La Ronde,status.operating,,
Super Manège,Steel,Sit Down,64,23,732,2,Vekoma,La Ronde,status.operating,,
Fantastic Coaster Rowdy,Steel,Sit Down,,,,0,Meisho Amusement Machines,Hirakata Park,status.operating,,
Toboggan Nordique,Steel,Sit Down,18,13,270,0,Zamperla,La Ronde,status.operating,,
Peekaboo Town,Steel,Sit Down,,,,0,Senyo Kogyo,Hirakata Park,status.operating,,
Red Falcon,Steel,Sit Down,70,,1300,0,Senyo Kogyo,Hirakata Park,status.operating,,
Flounder's Flying Fish Coaster,Steel,Sit Down,32,,240,0,Togo,Tokyo DisneySea,status.operating,,
Fire In The Hole,Steel,Sit Down,,,,0,na,Silver Dollar City,status.operating,,
Grand Exposition Coaster,Steel,Sit Down,,,,0,Zamperla,Silver Dollar City,status.operating,,
Thunderation,Steel,Sit Down,77,25,921,0,Arrow,Silver Dollar City,status.operating,,
Wildfire,Steel,Sit Down,106,37,937,5,B&M,Silver Dollar City,status.operating,,
Anaconda,Steel,Sit Down,81,44,823,4,Arrow,Kings Dominion,status.operating,,
Avalanche,Steel,Bobsleigh,,,,0,Mack,Kings Dominion,status.operating,,
Flight of Fear,Steel,Sit Down,87,23,825,4,Premier Rides,Kings Dominion,status.operating,,
Grizzly,Wooden,Sit Down,,27,960,0,na,Kings Dominion,status.operating,,
Hurler,Wooden,Sit Down,80,25,962,0,Philadelphia Toboggan Coaster,Kings Dominion,status.retracked,,
Back Lot Stunt Coaster,Steel,Sit Down,64,14,597,0,Premier Rides,Kings Dominion,status.operating,,
Racer 75 (Left),Wooden,Sit Down,90,26,1027,0,Philadelphia Toboggan Coaster,Kings Dominion,status.operating,,
Apple Zapple,Steel,Sit Down,56,16,400,0,Mack,Kings Dominion,status.operating,,
Woodstock Express,Steel,Sit Down,56,11,422,0,Philadelphia Toboggan Coaster,Kings Dominion,status.operating,,
Shockwave,Steel,Stand Up,81,29,680,1,Togo,Kings Dominion,status.closed.definitely,,
Great Pumpkin Coaster,Steel,Sit Down,,,,0,Miler Coaster,Kings Dominion,status.operating,,
Chenille (la),Steel,Sit Down,,5,,0,Pinfari,Koaland,status.operating,,
Aska,Wooden,Sit Down,80,30,1081,0,Intamin,Nara Dreamland,status.closed.definitely,,
Flight of the Hippogriff,Steel,Sit Down,46,13,335,0,Vekoma,Universal Studios Islands of Adventure,status.operating,,
Pteranodon Flyers,Steel,Suspended,,,,0,SetPoint,Universal Studios Islands of Adventure,status.operating,,
Dragon,Steel,Sit Down,,27,686,2,Hopkins,Adventureland,status.operating,,
Outlaw,Wooden,Sit Down,77,20,853,0,CCI,Adventureland,status.operating,,
Tornado,Steel,Sit Down,93,28,866,0,William J. Cobb,Adventureland,status.operating,,
Steampunk Coaster Iron Bull,Steel,Sit Down,52,12,489,0,Senyo Kogyo,Parque Espana-Shima Spain Village,status.operating,,
Gran Montserrat,Steel,Sit Down,66,20,815,0,Mack,Parque Espana-Shima Spain Village,status.operating,,
Pyrenees,Steel,Inverted,100,45,1234,6,B&M,Parque Espana-Shima Spain Village,status.operating,,
Fujiyama,Steel,Sit Down,130,79,2045,0,Togo,Fuji-Q Highland,status.operating,,
Voyage Dans Le Ciel,Steel,Suspended,50,23,480,0,Hoei Sangyo,Fuji-Q Highland,status.operating,,
Mad Mouse,Steel,Sit Down,31,11,343,0,Sansei Yusoki,Fuji-Q Highland,status.operating,,
Zola 7,Steel,Sit Down,,,,0,Togo,Fuji-Q Highland,status.closed.definitely,,
Rock 'N Roll Duncan,Steel,Sit Down,,3,,0,Sansei Yusoki,Fuji-Q Highland,status.operating,,
Drachenritt,Steel,Sit Down,70,18,500,0,Gerstlauer,Belantis,status.operating,,
